id,sub,name,gender,place,level,days,exercises,supersets
1479,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-3 DÍAS,male,home_with_material,advanced,3,15,0
1478,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-4 DÍAS,male,home_with_material,advanced,4,22,0
1477,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-5 DÍAS,male,home_with_material,advanced,5,25,0
1484,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,male,home_with_material,beginner,2,10,0
1483,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,male,home_with_material,beginner,3,15,0
1482,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,male,home_with_material,beginner,4,20,0
1481,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,male,home_with_material,beginner,5,25,0
1472,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-AVANZADO-2 DÍAS,male,home,advanced,2,10,0
1471,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-AVANZADO-3 DÍAS,male,home,advanced,3,15,0
1470,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-AVANZADO-4 DÍAS,male,home,advanced,4,22,0
1469,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-AVANZADO-5 DÍAS,male,home,advanced,5,25,0
1476,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,male,home,beginner,2,10,0
1475,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,male,home,beginner,3,15,0
1474,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,male,home,beginner,4,20,0
1473,Ganancia,GANANCIA MUSCULAR-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,male,home,beginner,5,25,0
