id,sub_objetivo,genero,lugar,nivel,dias,fase_mes,es_prueba,nombre
1296,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-PRINCIPIANTE-4 DIAS
1298,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS
1302,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-PRINCIPIANTE-4 DIAS
1305,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS
1310,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-PRINCIPIANTE-4 DÍAS
1313,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-4 DIAS
1317,Recomposición,Chicas,Mancuernas y gomas,Principiante,4,,SÍ,RECOMPOSICION-sss
1293,Recomposición,Chicas,Mancuernas y gomas,Principiante,5,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-PRINCIPIANTE-5 DIAS
1297,Recomposición,Chicas,Mancuernas y gomas,Principiante,5,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS
1301,Recomposición,Chicas,Mancuernas y gomas,Principiante,5,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-PRINCIPIANTE-5 DIAS
1308,Recomposición,Chicas,Mancuernas y gomas,Principiante,5,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS
1311,Recomposición,Chicas,Mancuernas y gomas,Principiante,5,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-PRINCIPIANTE-5 DÍAS
1315,Recomposición,Chicas,Mancuernas y gomas,Principiante,5,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-5 DIAS
1073,Recomposición,Chicas,Solo gomas,Avanzado,2,1,,RECOMPOSICION-CHICAS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-2 DIAS
1082,Recomposición,Chicas,Solo gomas,Avanzado,2,2,,RECOMPOSICION-CHICAS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS
1321,Recomposición,Chicas,Solo gomas,Avanzado,2,3,,RECOMPOSICION-CHICAS-SOLO GOMAS-TORSO PIERNA-MES 3-AVANZADO-2 DIAS
1087,Recomposición,Chicas,Solo gomas,Avanzado,2,4,,RECOMPOSICION-CHICAS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS
1327,Recomposición,Chicas,Solo gomas,Avanzado,2,5,,RECOMPOSICION-CHICAS-SOLO GOMAS-WEIDER-MES 5-AVANZADO-2 DÍAS
1330,Recomposición,Chicas,Solo gomas,Avanzado,2,6,,RECOMPOSICION-CHICAS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-2 DIAS
