id,name,zone,gender,objective_id,sub_objective_id,training_location,days_per_week,experience_level,created_at,updated_at
1026,RECOMPOSICION-CHICOS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-2 DIAS,consultancy,male,1,9,gym,2,advanced,2026-06-09T08:52:22.075531Z,2026-06-09T08:52:22.075531Z
1027,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,consultancy,male,1,9,home_with_material,5,advanced,2026-06-09T08:52:22.974111Z,2026-06-09T08:52:22.974111Z
1028,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,consultancy,male,1,9,home_with_material,4,advanced,2026-06-09T08:52:23.799815Z,2026-06-09T08:52:23.799815Z
1029,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,consultancy,male,1,9,home_with_material,2,advanced,2026-06-09T08:52:24.710240Z,2026-06-09T08:52:24.710240Z
1030,RECOMPOSICION-CHICOS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-5 DIAS,consultancy,male,1,9,gym,5,advanced,2026-06-09T08:52:25.240219Z,2026-06-09T08:52:25.240219Z
1031,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-3 DIAS,consultancy,male,1,9,home_with_material,3,advanced,2026-06-09T08:52:26.212724Z,2026-06-09T08:52:26.212724Z
1032,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-2 DIAS,consultancy,male,1,9,home_with_material,2,advanced,2026-06-09T08:52:26.835680Z,2026-06-09T08:52:26.835680Z
1033,RECOMPOSICION-CHICOS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-5 DIAS,consultancy,male,1,9,home,5,advanced,2026-06-09T08:52:27.364681Z,2026-06-09T08:52:27.364681Z
1034,RECOMPOSICION-CHICOS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-4 DIAS,consultancy,male,1,9,home,4,advanced,2026-06-09T08:52:28.042336Z,2026-06-09T08:52:28.042336Z
1035,RECOMPOSICION-CHICOS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-3 DIAS,consultancy,male,1,9,home,3,advanced,2026-06-09T08:52:28.924203Z,2026-06-09T08:52:28.924203Z
1036,RECOMPOSICION-CHICOS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-2 DIAS,consultancy,male,1,9,home,2,advanced,2026-06-09T08:52:29.602157Z,2026-06-09T08:52:29.602157Z
1037,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-5 DIAS,consultancy,female,1,9,gym,5,advanced,2026-06-09T08:52:30.140116Z,2026-06-09T08:52:30.140116Z
1038,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-4 DIAS,consultancy,female,1,9,gym,4,advanced,2026-06-09T08:52:31.180490Z,2026-06-09T08:52:31.180490Z
1039,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-2 DIAS,consultancy,female,1,9,gym,2,advanced,2026-06-09T08:52:31.784530Z,2026-06-09T08:52:31.784530Z
1040,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,consultancy,male,1,9,home_with_material,3,advanced,2026-06-09T08:52:32.248208Z,2026-06-09T08:52:32.248208Z
1041,RECOMPOSICION-CHICOS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-3 DIAS,consultancy,male,1,9,gym,3,advanced,2026-06-09T08:52:33.107304Z,2026-06-09T08:52:33.107304Z
1042,RECOMPOSICION-CHICOS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-2 DIAS,consultancy,male,1,9,gym,2,advanced,2026-06-09T08:52:33.745227Z,2026-06-09T08:52:33.745227Z
