routine_id,routine_name,day_order,day_name,superset_id,n_miembros,posicion_actual,posicion_esperada,correcta,posiciones_miembros,posiciones_sueltos
1164,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS,2,Pierna,1561,2,0,6,NO,6 7,1 2 3 4 5
1164,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS,3,Fullbody Torso,1562,2,0,5,NO,5 6,1 2 3 4
1163,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,1,Hombro-Pecho-Tríceps,1557,2,0,5,NO,5 6,1 2 3 4
1163,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,2,Espalda-Bíceps-Posterior,1558,2,0,5,NO,5 6,1 2 3 4
1163,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,3,Pierna,1559,2,0,5,NO,5 6,1 2 3 4
1163,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,4,Fullbody Torso,1560,2,0,5,NO,5 6,1 2 3 4
1162,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,1,Hombro-Pecho-Tríceps,1552,2,0,5,NO,5 6,1 2 3 4
1162,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,2,Espalda-Bíceps-Posterior,1553,2,0,5,NO,5 6,1 2 3 4
1162,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,3,Pierna,1554,2,0,5,NO,5 6,1 2 3 4
1162,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,4,Hombro-Pecho-Tríceps,1555,2,0,5,NO,5 6,1 2 3 4
1162,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,5,Espalda-Bíceps-Posterior,1556,2,0,5,NO,5 6,1 2 3 4
1149,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-2 DIAS,1,Hombro-Pecho-Tríceps-Pierna,1518,2,0,2,NO,2 3,1 4 5 6 7
1148,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS,2,Pierna,1516,2,0,2,NO,2 3,1 4 5 6
1148,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS,3,Torso Completo,1517,2,0,5,NO,5 6,1 2 3 4
1147,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,1,Pecho-Hombro-Triceps,1512,2,0,5,NO,5 6,1 2 3 4
1147,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,2,Pierna,1513,2,0,3,NO,3 4,1 2 5 6
1147,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,3,Espalda-Posterior-Biceps,1514,2,0,1,NO,1 2,3 4 5 6
1147,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,4,Torso Completo,1515,2,0,5,NO,5 6,1 2 3 4
1146,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,1,Pecho-Hombro-Tríceps,1507,2,0,5,NO,5 6,1 2 3 4
